# Gaussian list for MultSNR.fits
# Generated by PyBDSM version 1.10.4.dev13+g9246686
# Reference frequency of the detection ("ch0") image: 2.72000e+11 Hz
# Equinox : 2000.0 

# Gaus_id, Isl_id, Source_id, Wave_id, RA, E_RA, DEC, E_DEC, Total_flux, E_Total_flux, Peak_flux, E_Peak_flux, Xposn, E_Xposn, Yposn, E_Yposn, Maj, E_Maj, Min, E_Min, PA, E_PA, Maj_img_plane, E_Maj_img_plane, Min_img_plane, E_Min_img_plane, PA_img_plane, E_PA_img_plane, DC_Maj, E_DC_Maj, DC_Min, E_DC_Min, DC_PA, E_DC_PA, DC_Maj_img_plane, E_DC_Maj_img_plane, DC_Min_img_plane, E_DC_Min_img_plane, DC_PA_img_plane, E_DC_PA_img_plane, Isl_Total_flux, E_Isl_Total_flux, Isl_rms, Isl_mean, Resid_Isl_rms, Resid_Isl_mean, S_Code
   0,    0,    0,    0, 109.47373589324920, 0.00016584615985, 37.65435107448165, 0.00025890473832, 10.54243940982756, 3.45841079674648, 4.97007951717066, 1.16258705333570, 108.20220788884751, 0.59704769194214, 12.56414468662694, 0.93206113149609, 0.00241001825528, 0.00063072405602, 0.00170052799144, 0.00035554044549, 18.12758951914730, 23.80665101618844, 0.00241002975200, 0.00063072714324, 0.00170053264336, 0.00035554137382, 18.06951850433802, 23.80665101618844, 0.00196878298062, 0.00063072405602, 0.00097964586485, 0.00035554044549, 18.12758951914730, 23.80665101618844, 0.00196879237238, 0.00063072714324, 0.00097964854470, 0.00035554137382, 18.06951850433802, 23.80665101618844, 3.41693912676789, 1.13921951518483, 1.08987820148468, 0.03996636345983, 0.57095128766334, 0.04092296177244, S   
   1,    1,    1,    0, 109.46550012352249, 0.00018592961419, 37.65414504877745, 0.00015527817725, 10.99953982816925, 3.25774060336720, 5.71063550467019, 1.18378149949951, 131.67482733691094, 0.66934870585599, 11.79974497290410, 0.55900353556558, 0.00203884369615, 0.00043893348698, 0.00182529330364, 0.00036432761662, 97.35099217587762, 72.94005314464644, 0.00203884945230, 0.00043893514265, 0.00182530110663, 0.00036432882836, 97.29796418638466, 72.94005314464644, 0.00149157451274, 0.00043893348698, 0.00118305205444, 0.00036432761662, 97.35099217587762, 72.94005314464644, 0.00149157872375, 0.00043893514265, 0.00118305711184, 0.00036432882836, 97.29796418638466, 72.94005314464644, 5.19891137007824, 1.24459319482715, 1.08987820148468, 0.03996636345983, 0.82887680555096, 0.04705089421573, S   
   2,    2,    2,    0, 109.45701715649392, 0.00009101493369, 37.65412342163716, 0.00011157817238, 7.96798353791983, 2.09251998029777, 7.09273952590428, 1.11044300699230, 155.85268399574349, 0.32765459982507, 11.70065593174790, 0.40168299616832, 0.00163249979187, 0.00028153069536, 0.00132956009853, 0.00018897305297, 151.06626844040886, 27.85750762804851, 0.00163250436656, 0.00028153195139, 0.00132956528146, 0.00018897347607, 151.01843484387416, 27.85750762804851, 0.00085613456827, 0.00028153069536, 0.00000000000000, 0.00018897305297, 151.06626844040886, 27.85750762804851, 0.00085613696734, 0.00028153195139, 0.00000000000000, 0.00018897347607, 151.01843484387416, 27.85750762804851, 5.83760103680462, 1.22765916502034, 1.08987820148468, 0.03996636345983, 0.77110273763426, 0.04957811362108, S   
   3,    3,    3,    0, 109.44859291680679, 0.00009160625385, 37.65421988460292, 0.00011294515049, 10.14651441144716, 2.40995796342645, 7.67895592940842, 1.14840592498587, 179.86348400673688, 0.32978328880015, 12.02900386429708, 0.40660407703815, 0.00170027832840, 0.00026827457981, 0.00150148684381, 0.00021283768479, 167.62340120878335, 46.06991719102407, 0.00170028400356, 0.00026827565800, 0.00150149134442, 0.00021283817773, 167.58072604225799, 46.06991719102407, 0.00097921360894, 0.00026827457981, 0.00056778017295, 0.00021283768479, 167.62340120878335, 46.06991719102407, 0.00097921687728, 0.00026827565800, 0.00056778187482, 0.00021283817773, 167.58072604225799, 46.06991719102407, 7.13648101931711, 1.26129995041278, 1.08987820148468, 0.03996636345983, 0.73894902605050, 0.04160097342763, S   
   4,    4,    4,    0, 109.44009784605947, 0.00009239455239, 37.65420701395355, 0.00010924826663, 11.30329269729793, 2.51296475069808, 8.12718632903347, 1.15382193604633, 204.07584049942034, 0.33262111955902, 11.96577426099547, 0.39329519012505, 0.00178288308514, 0.00027154941070, 0.00150719303678, 0.00019945274985, 151.89123434256189, 31.76686853778397, 0.00178288795025, 0.00027155049258, 0.00150719799492, 0.00019945315556, 151.85376098039961, 31.76686853778397, 0.00111650465291, 0.00027154941070, 0.00058270366567, 0.00019945274985, 151.89123434256189, 31.76686853778397, 0.00111650769954, 0.00027155049258, 0.00058270558252, 0.00019945315556, 151.85376098039961, 31.76686853778397, 8.72599820783321, 1.57163830879239, 1.08987820148468, 0.03996636718512, 0.89041620166567, 0.06601026493686, S   
   5,    5,    5,    0, 109.43174132758854, 0.00008268605729, 37.65422662761667, 0.00007619248513, 11.39962707138471, 2.25023152781488, 9.35587196375389, 1.13545865344222, 227.89337062812976, 0.29767043866051, 12.02190382336890, 0.27429389414675, 0.00159497095332, 0.00020045594179, 0.00147598077857, 0.00017297711745, 61.97391381129318, 61.17769451249837, 0.00159497579751, 0.00020045655563, 0.00147598477381, 0.00017297758133, 61.94155740844604, 61.17769451249837, 0.00078220462678, 0.00020045594179, 0.00049641687969, 0.00017297711745, 61.97391381129317, 61.17769451249837, 0.00078220700242, 0.00020045655563, 0.00049641822338, 0.00017297758133, 61.94155740844603, 61.17769451249837, 9.27308113905688, 1.41757879395983, 1.08987820148468, 0.03996636718512, 0.88763362143540, 0.05584447955591, S   
   6,    6,    6,    0, 109.42331268531736, 0.00005684138400, 37.65422695113610, 0.00006276404001, 10.80960416556443, 1.88438204643276, 10.82781054838276, 1.08714236262328, 251.91641724971851, 0.20462937516635, 12.01061331500054, 0.22595131804505, 0.00146416898037, 0.00015498827203, 0.00131736205068, 0.00012545531220, 149.18340183538368, 36.44921886270961, 0.00146417280255, 0.00015498881477, 0.00131736586972, 0.00012545556407, 149.15620655822278, 36.44921886270961, 0.00000000000000, 0.00015498827203, 0.00000000000000, 0.00012545531220, 0.00000000000000, 36.44921886270961, 0.00000000000000, 0.00015498881477, 0.00000000000000, 0.00012545556407, 0.00000000000000, 36.44921886270961, 10.17524669953918, 1.43226912200787, 1.08987820148468, 0.03996636718512, 0.92120473347458, 0.06752367287837, S   
   7,    7,    7,    0, 109.41486832809444, 0.00005721189634, 37.65427123301043, 0.00004777148855, 12.79755154988692, 1.92732523410660, 12.50683180179254, 1.09420038134850, 275.98431233339215, 0.20596320494201, 12.15971510948624, 0.17197792727379, 0.00147438811593, 0.00013518620037, 0.00134089586208, 0.00011193698771, 81.54406126027639, 35.58358677750271, 0.00147439115104, 0.00013518665031, 0.00134090022349, 0.00011193720967, 81.52203672606166, 35.58358677750271, 0.00000000000000, 0.00013518620037, 0.00000000000000, 0.00011193698771, 0.00000000000000, 35.58358677750271, 0.00000000000000, 0.00013518665031, 0.00000000000000, 0.00011193720967, 0.00000000000000, 35.58358677750271, 11.25050229360754, 1.64961767923562, 1.08987832069397, 0.03996636718512, 0.87156715288503, 0.06539858793045, S   
   8,    8,    8,    0, 109.40644732479700, 0.00005137867061, 37.65421969104909, 0.00005352137491, 13.59549050884831, 1.98804529147042, 12.84054697984172, 1.10387834271859, 299.98551261388434, 0.18496353043750, 11.96603645830309, 0.19267758419155, 0.00148091372645, 0.00013168803572, 0.00138136661748, 0.00011480684250, 143.73191308416014, 48.34987581117184, 0.00148091741080, 0.00013168840877, 0.00138137031294, 0.00011480711004, 143.71504499521564, 48.34987581117184, 0.00051089634847, 0.00013168803572, 0.00000000000000, 0.00011480684250, 143.73191308416008, 48.34987581117184, 0.00051089761950, 0.00013168840877, 0.00000000000000, 0.00011480711004, 143.71504499521558, 48.34987581117184, 12.60244514316826, 1.55826250520601, 1.08987832069397, 0.03996636718512, 1.05690065128564, 0.08876370053981, S   
   9,    9,    9,    0, 109.39799814900636, 0.00006207865407, 37.65423475989455, 0.00005525336120, 16.88022093613527, 2.35611853638759, 13.12932185876408, 1.14536551872836, 324.06709012733114, 0.22348352161916, 12.01429610692266, 0.19891274592649, 0.00164513037434, 0.00014900275548, 0.00150995122397, 0.00012687397854, 111.67730397842683, 39.65494356700504, 0.00164513329172, 0.00014900318899, 0.00150995617000, 0.00012687424997, 111.66560958361907, 39.65494356700504, 0.00087997772767, 0.00014900275548, 0.00058980111597, 0.00012687397854, 111.67730397842681, 39.65494356700504, 0.00087997928812, 0.00014900318899, 0.00058980304790, 0.00012687424997, 111.66560958361904, 39.65494356700504, 14.54616713010803, 1.63687920105913, 1.08987832069397, 0.03996637836099, 0.91728035341409, 0.08313889442669, S   
