# Gaussian list for MultDist1.fits
# Generated by PyBDSM version 1.10.3
# Reference frequency of the detection ("ch0") image: 2.72000e+11 Hz
# Equinox : 2000.0 

# Gaus_id, Isl_id, Source_id, Wave_id, RA, E_RA, DEC, E_DEC, Total_flux, E_Total_flux, Peak_flux, E_Peak_flux, Xposn, E_Xposn, Yposn, E_Yposn, Maj, E_Maj, Min, E_Min, PA, E_PA, Maj_img_plane, E_Maj_img_plane, Min_img_plane, E_Min_img_plane, PA_img_plane, E_PA_img_plane, DC_Maj, E_DC_Maj, DC_Min, E_DC_Min, DC_PA, E_DC_PA, DC_Maj_img_plane, E_DC_Maj_img_plane, DC_Min_img_plane, E_DC_Min_img_plane, DC_PA_img_plane, E_DC_PA_img_plane, Isl_Total_flux, E_Isl_Total_flux, Isl_rms, Isl_mean, Resid_Isl_rms, Resid_Isl_mean, S_Code
   0,    0,    0,    0, 109.50865671422598, 0.00002305111272, 37.65440161038445, 0.00009258394449, 0.01392519405129, 0.01082690708763, 0.11815874361355, 0.01368552037658, 8.67228500864128, 0.08298319423760, 12.86524437076996, 0.33330410504537, 0.00086534108111, 0.00022394616847, 0.00034864529048, 0.00001807250657, 13.33534542075792, 5.09361280767923, 0.00086534593726, 0.00022394732654, 0.00034864673117, 0.00001807258919, 13.25589124141931, 5.01415862834061, 0.00000000000000, 0.00022394616847, 0.00000000000000, 0.00001807250657, 0.00000000000000, 5.09361280767923, 0.00000000000000, 0.00022394732654, 0.00000000000000, 0.00001807258919, 0.00000000000000, 5.01415862834061, 2.12298876249117, 0.08612004594859, 0.05153071507812, 0.00534270983189, 0.03945365706154, 0.00655092955328, M   
   1,    0,    0,    0, 109.50783028487416, 0.00001898587414, 37.65401975332772, 0.00001978834856, 2.12166705334916, 0.09706080387869, 1.93374353595174, 0.05264652124766, 11.02585222473138, 0.06834946547985, 11.48730528634031, 0.07123840335518, 0.00169997274325, 0.00004691475987, 0.00165223623955, 0.00004437580175, 159.13123409813215, 39.38361291053472, 0.00169997920773, 0.00004691506265, 0.00165224601532, 0.00004437594667, 159.05228596894449, 39.30466478134704, 0.00057439254655, 0.00004691475987, 0.00041220733194, 0.00004437580175, 159.13123409813221, 39.38361291053472, 0.00057439473075, 0.00004691506265, 0.00041220977082, 0.00004437594667, 159.05228596894455, 39.30466478134704, 2.12298876249117, 0.08612004594859, 0.05153071507812, 0.00534270983189, 0.03945365706154, 0.00655092955328, M   
   2,    1,    1,    0, 109.50081231167196, 0.00001987387888, 37.65417964705899, 0.00002357665967, 2.16880005085517, 0.10400728512646, 1.82688403434824, 0.05341336822347, 31.02909609752438, 0.07154625418144, 12.03617649651015, 0.08487638939545, 0.00182322353418, 0.00005553687302, 0.00166688095970, 0.00004677793544, 177.35956600092388, 13.92746939291717, 0.00182323186563, 0.00005553717362, 0.00166688867912, 0.00004677811265, 177.28491521029270, 13.85281860228600, 0.00087416671865, 0.00005553687302, 0.00046745678375, 0.00004677793544, 177.35956600092385, 13.92746939291717, 0.00087417071323, 0.00005553717362, 0.00046745894856, 0.00004677811265, 177.28491521029270, 13.85281860228600, 2.10747523672347, 0.07793971832176, 0.05153071507812, 0.00534271029755, 0.04074608964443, 0.00723152431267, S   
   3,    2,    2,    0, 109.49381192652373, 0.00002111871304, 37.65430970179403, 0.00002936058292, 2.17440734304302, 0.11199601239374, 1.67739953319195, 0.05398601039375, 50.98198822191002, 0.07602762383997, 12.47918497385709, 0.10569860976896, 0.00198977388277, 0.00006915889437, 0.00166777263213, 0.00004970292640, 178.08810749934165, 8.18823608114780, 0.00198978273490, 0.00006915923626, 0.00166777974580, 0.00004970311379, 178.01774327649218, 8.11787185829835, 0.00118288751896, 0.00006915889437, 0.00047062446927, 0.00004970292640, 178.08810749934165, 8.18823608114780, 0.00118289278133, 0.00006915923626, 0.00047062647662, 0.00004970311379, 178.01774327649218, 8.11787185829835, 2.13242411612838, 0.08191650148354, 0.05153071507812, 0.00534270983189, 0.03850018025098, 0.00591165261937, S   
   4,    3,    3,    0, 109.48678674858556, 0.00002258138737, 37.65446150313382, 0.00003923308194, 2.18829435446166, 0.12310207230415, 1.49709439768727, 0.05424410109368, 71.00555976456725, 0.08129319265644, 13.00188938679779, 0.14123976697826, 0.00225261961264, 0.00009238881499, 0.00166113555961, 0.00005317165799, 0.52126151110347, 5.75133240969404, 0.00225262955037, 0.00009238924469, 0.00166114193921, 0.00005317184945, 0.45519903491346, 5.68526993350403, 0.00158566002251, 0.00009238881499, 0.00044653220569, 0.00005317165799, 0.52126151110347, 5.75133240969404, 0.00158566701776, 0.00009238924469, 0.00044653392056, 0.00005317184945, 0.45519903491346, 5.68526993350403, 2.10679860458292, 0.08191650148354, 0.05153071507812, 0.00534270983189, 0.04000720135231, 0.00454779666892, S   
   5,    4,    4,    0, 109.47977885668921, 0.00003341308048, 37.65525082402658, 0.00004170834923, 1.20011708643246, 0.10140917201435, 1.04009250196464, 0.05303972788023, 90.98225162717677, 0.12028746873358, 15.82122508294880, 0.15015070764022, 0.00183271193820, 0.00009920480651, 0.00161173649619, 0.00007743087697, 167.03922565013389, 17.24020247271558, 0.00183271856995, 0.00009920528783, 0.00161174316957, 0.00007743110209, 166.97745433182854, 17.17843115441023, 0.00089378497154, 0.00009920480651, 0.00019420538702, 0.00007743087697, 167.03922565013389, 17.24020247271558, 0.00089378820569, 0.00009920528783, 0.00019420619112, 0.00007743110209, 166.97745433182854, 17.17843115441023, 2.14678246172168, 0.08652917019643, 0.05153071507812, 0.00534270983189, 0.04208475951746, 0.00682294350463, M   
   6,    4,    4,    0, 109.47974764083233, 0.00004398183987, 37.65383947948591, 0.00004046649901, 0.98828643942512, 0.09769115298087, 0.89410208721202, 0.05269947078769, 91.06574487863506, 0.15833519475546, 10.74027083073908, 0.14567999473044, 0.00173556845741, 0.00010537945027, 0.00163038629994, 0.00009328560404, 113.43864494545183, 39.50829538791218, 0.00173557329117, 0.00010538000428, 0.00163039462459, 0.00009328584970, 113.37689274163074, 39.44654318409108, 0.00067246719633, 0.00010537945027, 0.00031334586203, 0.00009328560404, 113.43864494545186, 39.50829538791218, 0.00067246906920, 0.00010538000428, 0.00031334746193, 0.00009328584970, 113.37689274163077, 39.44654318409108, 2.14678246172168, 0.08652917019643, 0.05153071507812, 0.00534270983189, 0.04208475951746, 0.00682294350463, M   
   7,    5,    5,    0, 109.47277637140087, 0.00003674393012, 37.65391294136634, 0.00003710594898, 1.07951702196863, 0.09538426979982, 1.00315906333637, 0.05240208269183, 110.93542165101809, 0.13227857804830, 10.98410853679436, 0.13358196245001, 0.00170590108640, 0.00009149604937, 0.00161488855872, 0.00008215832088, 42.43449552632734, 39.74862437194013, 0.00170590954947, 0.00009149650534, 0.00161489265205, 0.00008215852727, 42.37701205892037, 39.69114090453316, 0.00059171269807, 0.00009149604937, 0.00021881050005, 0.00008215832088, 42.43449552632735, 39.74862437194013, 0.00059171563354, 0.00009149650534, 0.00021881105467, 0.00008215852727, 42.37701205892038, 39.69114090453316, 2.12686379738353, 0.08774510074342, 0.05153071880341, 0.00534270983189, 0.03919209545958, 0.00757765824422, C   
   8,    5,    6,    0, 109.47274945260419, 0.00003823262242, 37.65557698841949, 0.00003744417165, 1.07902022218576, 0.09638641596189, 0.99085726389990, 0.05249309397617, 111.01815362658402, 0.13763788455406, 16.97462224427174, 0.13479955052502, 0.00174463615175, 0.00009639656936, 0.00159790294761, 0.00008116631602, 48.57108436436611, 25.59964250768321, 0.00174464448169, 0.00009639703323, 0.00159790704191, 0.00008116652092, 48.51361737884059, 25.54217552215769, 0.00069554277213, 0.00009639656936, 0.00000000000000, 0.00008116631602, 48.57108436436614, 25.59964250768321, 0.00069554609301, 0.00009639703323, 0.00000000000000, 0.00008116652092, 48.51361737884062, 25.54217552215769, 2.12686379738353, 0.08774510074342, 0.05153071880341, 0.00534270983189, 0.03919209545958, 0.00757765824422, C   
   9,    6,    7,    0, 109.46572219920490, 0.00003653811084, 37.65390195818388, 0.00003753544317, 1.03948819707122, 0.09375784495821, 0.98468386835241, 0.05219477487492, 131.04106119088001, 0.13153759250097, 10.92520093849515, 0.13512813319901, 0.00167005220223, 0.00008989265510, 0.00161819017763, 0.00008446870000, 147.88776037587402, 69.23164497212059, 0.00167005685310, 0.00008989300940, 0.00161819721258, 0.00008446896953, 147.83459640212237, 69.17848099836894, 0.00047863202637, 0.00008989265510, 0.00024199526780, 0.00008446870000, 147.88776037587402, 69.23164497212059, 0.00047863335927, 0.00008989300940, 0.00024199631983, 0.00008446896953, 147.83459640212237, 69.17848099836894, 2.12326518761243, 0.09012774514662, 0.05153071507812, 0.00534270983189, 0.04243724756800, 0.00684491142701, C   
